                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 1.1852,                 0.7156,                  1.435,                0.91985,                0.91824,                0.95603,                0.61364,                 1.3382,                0.75694,                 1.6853,              0.0015129,              0.0015129,              0.0015129
                    126,                 1.1793,                   0.71,                 1.4479,                0.94648,                   0.92,                0.97079,                0.56565,                 1.4297,                0.80704,                 1.7139,               0.001509,               0.001509,               0.001509
                    127,                 1.2108,                0.72679,                 1.4406,                0.87572,                   0.96,                0.95556,                0.58448,                 1.4326,                0.84011,                 1.6928,               0.001505,               0.001505,               0.001505
                    128,                 1.1955,                0.71673,                 1.4365,                0.91886,                   0.92,                0.94711,                0.58814,                 1.4767,                0.81257,                 1.7322,               0.001501,               0.001501,               0.001501
                    129,                 1.2083,                0.71877,                 1.4464,                0.91321,                   0.92,                0.93358,                0.52607,                 1.4722,                0.80037,                 1.8476,              0.0014971,              0.0014971,              0.0014971
                    130,                 1.2096,                0.72281,                 1.4255,                0.94706,                   0.88,                0.90981,                0.52808,                 1.4985,                0.94716,                 1.8892,              0.0014931,              0.0014931,              0.0014931
                    131,                 1.1821,                0.67781,                 1.4375,                0.93711,                   0.88,                0.91699,                0.55243,                 1.5098,                0.85748,                 1.8876,              0.0014892,              0.0014892,              0.0014892
                    132,                 1.2108,                0.72335,                 1.4435,                0.91106,                   0.96,                0.96915,                0.61402,                 1.4347,                0.79563,                 1.7586,              0.0014852,              0.0014852,              0.0014852
                    133,                  1.181,                0.68636,                 1.4639,                0.98693,                   0.88,                 0.9668,                0.59749,                 1.4106,                0.68501,                 1.7081,              0.0014812,              0.0014812,              0.0014812
                    134,                 1.2013,                0.73837,                 1.4687,                0.88152,                   0.92,                0.95065,                0.58202,                 1.4015,                0.89127,                 1.7249,              0.0014773,              0.0014773,              0.0014773
                    135,                  1.188,                0.70508,                 1.4294,                0.96024,                   0.88,                0.95479,                0.61625,                 1.4224,                  0.796,                 1.7031,              0.0014733,              0.0014733,              0.0014733
                    136,                 1.1499,                0.68752,                 1.4241,                0.94612,                   0.92,                0.95507,                0.55921,                 1.4124,                0.92562,                 1.7512,              0.0014694,              0.0014694,              0.0014694
                    137,                 1.2104,                0.72201,                 1.4878,                      1,                0.90536,                0.96824,                0.59953,                 1.3559,                0.86442,                 1.6321,              0.0014654,              0.0014654,              0.0014654
                    138,                 1.2649,                0.70504,                 1.5035,                0.98864,                   0.92,                0.95986,                0.57591,                 1.4536,                 0.7968,                 1.8079,              0.0014614,              0.0014614,              0.0014614
                    139,                 1.1778,                0.69085,                 1.4281,                0.98691,                   0.88,                 0.9727,                0.59048,                  1.467,                0.68647,                 1.7548,              0.0014575,              0.0014575,              0.0014575
                    140,                 1.1687,                0.66493,                 1.3922,                0.99227,                   0.92,                0.97375,                0.59357,                 1.4346,                0.66547,                 1.7514,              0.0014535,              0.0014535,              0.0014535
                    141,                 1.1547,                0.64808,                  1.425,                 0.9853,                   0.88,                0.95979,                0.58191,                 1.5164,                0.76518,                  1.808,              0.0014496,              0.0014496,              0.0014496
                    142,                 1.1887,                0.67929,                 1.4645,                0.96017,                   0.88,                0.95846,                0.57211,                 1.5156,                0.73691,                 1.7963,              0.0014456,              0.0014456,              0.0014456
                    143,                 1.1929,                0.68301,                 1.4302,                 0.9581,                0.91481,                0.94657,                0.59017,                 1.4106,                0.74208,                 1.7404,              0.0014416,              0.0014416,              0.0014416
                    144,                 1.1892,                 0.7069,                 1.4406,                0.94601,                   0.92,                0.95541,                0.60355,                 1.3284,                0.72152,                  1.677,              0.0014377,              0.0014377,              0.0014377
                    145,                 1.1126,                0.65781,                 1.3828,                0.94582,                   0.96,                0.96123,                0.59181,                 1.3668,                0.79971,                 1.7529,              0.0014337,              0.0014337,              0.0014337
                    146,                 1.1936,                0.67839,                 1.4141,                0.95713,                0.89344,                0.98337,                0.59588,                 1.3376,                0.70024,                 1.6491,              0.0014298,              0.0014298,              0.0014298
                    147,                 1.2038,                0.66947,                 1.4222,                0.95813,                0.91544,                0.96806,                0.57705,                 1.3973,                0.73981,                 1.7203,              0.0014258,              0.0014258,              0.0014258
